mechanic,incursions_per_map,skip_after_locus,skip_after_doryani,skip_after_nexus,skip_last_if_0,switch_if_lvl0,total_locus,total_doryani,total_both,only_locus,only_doryani,total_any,maps
2,3,True,True,True,True,True,351490,308051,96428,255062,211623,563113,4832974
2,3,True,True,True,True,False,340555,298602,91654,248901,206948,547503,4794336
2,3,True,True,True,False,True,375666,329822,107910,267756,221912,597578,4865018
2,3,True,True,True,False,False,361968,318936,102636,259332,216300,578268,4817576
2,3,True,True,False,True,True,349595,307725,95214,254381,212511,562106,4782148
2,3,True,True,False,True,False,338957,297423,90533,248424,206890,545847,4746927
2,3,True,True,False,False,True,374783,330682,107877,266906,222805,597588,4816121
2,3,True,True,False,False,False,360298,319107,101670,258628,217437,577735,4769870
2,3,True,False,True,True,True,349798,271759,84843,264955,186916,536714,4502683
2,3,True,False,True,True,False,340245,264372,81747,258498,182625,522870,4478295
2,3,True,False,True,False,True,377160,295886,98135,279025,197751,574911,4525541
2,3,True,False,True,False,False,363155,285737,92763,270392,192974,556129,4494600
2,3,True,False,False,True,True,348030,271903,84508,263522,187395,535425,4451617
2,3,True,False,False,True,False,338042,265243,81080,256962,184163,522205,4429119
2,3,True,False,False,False,True,375115,295265,97304,277811,197961,573076,4474382
2,3,True,False,False,False,False,360719,285100,92036,268683,193064,553783,4443698
2,3,False,True,True,True,True,313408,307870,85509,227899,222361,535769,4482841
2,3,False,True,True,True,False,304780,298070,82184,222596,215886,520666,4459193
2,3,False,True,True,False,True,337227,332641,97677,239550,234964,572191,4504449
2,3,False,True,True,False,False,326003,320065,92251,233752,227814,553817,4473834
2,3,False,True,False,True,True,310797,307196,84388,226409,222808,533605,4425002
2,3,False,True,False,True,False,303344,297597,81004,222340,216593,519937,4404286
2,3,False,True,False,False,True,335015,332931,96805,238210,236126,571141,4445772
2,3,False,True,False,False,False,324572,319815,91871,232701,227944,552516,4418348
2,3,False,False,True,True,True,312739,271635,75971,236768,195664,508403,4071718
2,3,False,False,True,True,False,304522,265043,73200,231322,191843,496365,4069336
2,3,False,False,True,False,True,338366,297455,88376,249990,209079,547445,4074307
2,3,False,False,True,False,False,325738,287278,83449,242289,203829,529567,4070843
2,3,False,False,False,True,True,309270,272182,75279,233991,196903,506173,4000000
2,3,False,False,False,True,False,301728,264738,72172,229556,192566,494294,4000000
2,3,False,False,False,False,True,336007,296548,87426,248581,209122,545129,4000000
2,3,False,False,False,False,False,325492,287135,83965,241527,203170,528662,4000000
2,4,True,True,True,True,True,370890,325112,106167,264723,218945,589835,3981085
2,4,True,True,True,True,False,360545,315784,102021,258524,213763,574308,3933686
2,4,True,True,True,False,True,385746,337647,113283,272463,224364,610110,4005065
2,4,True,True,True,False,False,371991,326685,106889,265102,219796,591787,3950262
2,4,True,True,False,True,True,368393,325104,105961,262432,219143,587536,3920471
2,4,True,True,False,True,False,357755,315062,101092,256663,213970,571725,3874566
2,4,True,True,False,False,True,383170,337726,112729,270441,224997,608167,3945128
2,4,True,True,False,False,False,370930,326091,106526,264404,219565,590495,3891637
2,4,True,False,True,True,True,370226,270720,89905,280321,180815,551041,3589470
2,4,True,False,True,True,False,359929,264139,85758,274171,178381,538310,3559450
2,4,True,False,True,False,True,387681,284462,97749,289932,186713,574394,3604901
2,4,True,False,True,False,False,373800,277171,93066,280734,184105,557905,3571313
2,4,True,False,False,True,True,367649,269961,88803,278846,181158,548807,3527674
2,4,True,False,False,True,False,357582,263432,85141,272441,178291,535873,3500741
2,4,True,False,False,False,True,385562,284360,97295,288267,187065,572627,3544768
2,4,True,False,False,False,False,372517,276265,92299,280218,183966,556483,3511476
2,4,False,True,True,True,True,311554,325365,89315,222239,236050,547604,3564823
2,4,False,True,True,True,False,305504,317091,86549,218955,230542,536046,3536474
2,4,False,True,True,False,True,326335,341400,96938,229397,244462,570797,3580475
2,4,False,True,True,False,False,318447,329712,93205,225242,236507,554954,3547235
2,4,False,True,False,True,True,308498,325812,88517,219981,237295,545793,3496579
2,4,False,True,False,True,False,301420,314942,84855,216565,230087,531507,3470704
2,4,False,True,False,False,True,323007,341568,95877,227130,245691,568698,3511877
2,4,False,True,False,False,False,314761,329300,91885,222876,237415,552176,3480996
2,4,False,False,True,True,True,310162,270668,75171,234991,195497,505659,3084421
2,4,False,False,True,True,False,304094,264139,72443,231651,191696,495790,3081057
2,4,False,False,True,False,True,326290,286346,82500,243790,203846,530136,3086029
2,4,False,False,True,False,False,317590,278311,79408,238182,198903,516493,3082230
2,4,False,False,False,True,True,305567,270116,73754,231813,196362,501929,3000000
2,4,False,False,False,True,False,299645,263072,71032,228613,192040,491685,3000000
2,4,False,False,False,False,True,323037,285261,81826,241211,203435,526472,3000000
2,4,False,False,False,False,False,314514,277083,78058,236456,199025,513539,3000000
